Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Stud20	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Mach18	Cour0	Cour1
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S																								S16																			S	S	
D14,3		R0		S	S3,30	S2,30	S1,30	S0,30	S2,30	S2,30	S1,30	S3,30	S3,30	S2,30	S3,30	S1,30	S0,30	S2,30	S0,30	S3,30	S1,30	S1,30	S0,30	S1,30	S2,30		S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16			
D5,1	C0,5	R1																																											t0,5		
D5,3	C1,5	R2		G19																																											
D1,2	C2,5	R3																																													
D11,3	C3,5	R4																																													
D14,3	C4,5	R5																																													
D0,1	C5,5	R6																																													
D19,3	C6,5	R7																																													
D0,3	C7,5	R8																																													
D18,1	C8,5	R9																																													
D11,1	C9,5	R10																																													
D20,3	C10,5	R11																																													
D6,3	C11,5	R12																																													
D10,3	C12,5	R13																																													
D2,1	C13,5	R14																																													
D3,2	C14,5	R15																																													
D2,3	C15,5	R16																																													
D17,3	C16,5	R17																																													
D13,1	C17,5	R18	S																																												
D3,3	C18,5	N0,0																																													
D12,1	C19,5	N1,1																																													
D10,1	C20,5	N2,2	P19																																												
			d0,19																																												
D17,2		N3,3	U0,13	P																						r																				t1,5	
D20,1		N4,4	D0,0	G12																						R																					
			P12																																												
			d0,12																																												
D16,2		N5,5	U0,6	P																						r																					
			D0,5																																												
			d1,5																																												
D13,2		N6,6	U1,27																							R	r																				
D14,2		N7,7	D1,0	G12																							R																				
D15,2		N8,8																																													
D4,3		N9,9																																													
D19,2		N10,10																																													
D3,1		N11,11	P12																																												
			d0,12																																												
D8,1		N12,12	U0,1	P																						r																					
			D0,7																																												
			d1,7																																												
D3,3		N13,13	U1,20																							R	r																				
D17,1		N14,14	D1,0	G20																							R																				
D3,2		N15,15																																													
D14,1		N16,16	P20																																												
D7,1		N17,17	d0,20	P																						r																					
			D0,19																																												
			d1,19																																												
D11,1		N18,18	U1,5																							R	r																				
			D1,4																																												
			d2,4																																												
D5,2		N19,0	U2,28	G16																							R	r																			
D17,2		N20,1	D2,0																									R																			
D5,3																																															
D10,1																																															
D11,2			P16																																												
D14,2			d0,16	P																						r																					
			D0,16																																												
			d1,16																																												
D8,1			U1,1																							R	r																				
			D1,12																																												
			d2,12																																												
D14,3			U2,19	G8																							R	r																			
			D2,3																																												
			d3,3																																												
D9,2			U3,29																									R	r																		
D17,2			D3,0																										R																		
D15,2																																															
D6,1																																															
D20,2																																															
D5,2			P8																																												
D13,2			d0,8	P																						r																					
			D0,8																																												
D0,1			d1,8																							R	r																				
			D1,7																																												
			d2,7																																												
	W		U2,16	G23																							R	r																	T0,5		
D4,2	T0,21		D2,4																																												
			d3,4																																												
D7,1			U3,25																									R	r																t2,5		
D13,2			D3,0																										R																		
D6,1																																															
D5,2																																															
D9,2			P23																																												
D13,2			d0,23	P																						r																					
			D0,23																																												
D5,3			d1,23																							R	r																				
			D1,23																																												
			d2,23																																												
D2,3	W		U2,1	G15																							R	r																	T2,5		
			D2,8																																												
			d3,8																																												
D14,2			U3,22																									R	r																t3,5		
			D3,5																																										T3,5		
			d4,5																																												
D16,2	T2,21		U4,27		L																								R	r																	
D8,2	C3,5		D4,0																											R																	
D9,1																																													t4,5		
D6,2	W	N4,5							V5																																				T4,5		
																																													t5,5		
D15,3	W	N5,6								V6																																			T5,5		
																																													t6,5		
D1,2	W	N4,6	P15						V6																																				T6,5		
D18,1		N6,7	d0,15	P							V7															r																			t7,5		
			D0,15																																												
D5,3		N5,7	d1,15							V7																R	r																				
			D1,15																																												
D11,3		N4,7	d2,15	G13					V7																		R	r																			
			D2,14																																												
			d3,14																																												
D13,3		N5,8	U3,11							V8																		R	r																		
			D3,3																																												
			d4,3																																												
		N6,8	U4,24								V8																		R	r																	
D3,1		N5,9	D4,0							V9																				R																	
			P13																																												
D13,1		N6,9	d0,13	P							V9															r																					
			D0,13																																												
D7,3	W	N4,8	d1,13						V8																	R	r																		T7,5		
			D1,13																																												
D15,3		N5,10	d2,13	G7						V10																	R	r																	t8,5		
			D2,13																																												
			d3,13																																												
D11,2		N7,8	U3,5									V8																R	r																		
			D3,7																																												
			d4,7																																												
D14,1		N4,9	U4,17						V9																				R	r																	
D2,3		N5,11	D4,0							V11																				R																	
D11,1		N7,9										V9																																			
D13,2		N6,10	P7								V10																																				
D20,3		N5,12	d0,7	P						V12																r																					
			D0,7																																												
